kotodama-i18n-v1	76	15
language	no_functions	unsupported_binary_op	unknown_param	read_file	parser_error	semantic_error	lint_unused_state	lint_state_shadowed_param	lint_state_shadowed_binding	lint_state_shadowed_map_binding	lint_unused_parameter	lint_unreachable_after_return	lint_ok	lint_usage	lint_usage_help
AncientEgyptianHieroglyph	𓈖𓄿𓊵𓅱 𓆑𓅱𓈖𓐍𓏏𓅱𓈖 𓉔𓄿𓂋 𓎡𓅱𓊪𓃀𓇋𓃭	𓎼𓂋𓏏𓅱𓄿 𓃀𓇋𓄿𓈖𓏭 𓉔𓈖𓂧𓄿𓏏𓄿: {op}	𓄿𓈙 𓅱𓎛𓈖𓏏𓄿 𓉔𓄿𓂋 𓂝𓅱𓈖 `{name}`	𓄿𓅱𓈖 𓂝𓅱𓏏𓈖 `{path}` 𓏏𓅱𓎼𓄿𓃀 𓎛𓇌𓂧𓄿: `{error}`	𓊪𓄿𓂋𓋴𓇋𓂋 𓅓𓎛𓄿𓂧: {error}	𓉔𓄿𓂧 𓋴𓅊𓈖𓂧𓄿𓂋𓂧: {error}	`{name}` 𓋴𓍿𓄿𓏏 𓅓𓂝𓂻𓄿 𓅓𓅱𓈖 𓊪𓅓𓂝	𓋴𓅓𓋴 `{func}` 𓄿𓂋𓈙 `{name}` 𓋴𓍿𓄿𓏏 𓅓𓂝𓂻𓄿; 𓋴𓈖𓆑𓂋 𓈖𓂝𓈖 𓄿𓂋𓈙 𓉔𓆑𓂋 𓋴𓍿𓄿𓏏	𓋴𓅓𓋴 `{func}` 𓉔𓆑𓂋 𓈖𓍿𓂋𓈙 `{name}` 𓋴𓍿𓄿𓏏 𓅓𓂝𓂻𓄿; 𓋴𓈖𓆑𓂋 𓈖𓂝𓈖 𓍿𓂋𓈙 𓉔𓆑𓂋 𓋴𓍿𓄿𓏏	𓎛𓈖𓏏𓇋 `{func}` 𓋴𓂋𓊪 𓎡𓂋𓈖𓂋 𓍿𓂋𓈙 `{name}` 𓋴𓍿𓄿𓏏 𓅓𓂝𓂻𓄿	𓋴𓅓𓋴 `{func}` 𓄿𓂋𓈙 `{name}` 𓅓𓅱𓈖 𓊪𓅓𓂝	{context} 𓅓 𓋴𓂻𓈖𓅱 𓂋𓏲𓏏𓈖 𓅱𓂝 𓂋𓈖 𓂋𓏤; 𓎛𓂧𓋴 𓎝𓂋𓈖 𓎼𓃭𓂧 𓅱𓈗 𓂝	𓈖𓆑𓂋	𓎛𓄿𓂧 𓋴𓂝𓄿𓃀: 𓎟𓏏𓃀𓇋𓆑𓏏 <𓅱𓅱𓋴𓏏.𓎡𓅱> [<𓅱𓅱𓋴𓎡𓅱2> 𓂝𓂝𓎛]	𓋴𓆑𓂋𓂋 𓍿𓂋𓈙𓄿 𓂝𓈘𓄿 𓅓 𓐍𓂝𓈖𓌻𓈖
Dzongkha	ཕན་ཚུན་སྤྱོད་མི་བྱེད་པའི་ལས་སྦྱོར་མེད།	Kotodama compiler hint: {op}	མ་ཤེས་པའི་ཚད་གཞི {name}	{path} ཡིག་ཆ་ལྷག་མ་ཚུབ།: {error}	ཞིབ་འགྲེལ་མི་འགྲུབ་པའི་ནོར་འཁྲུལ: {error}	དོན་ཚན་ནོར་འཁྲུལ: {error}	state `{name}` གསལ་བསྒྲགས་བྱས་ཡོད་ཀྱང་སྤྱོད་པ་མེད།	ལས་འགན `{func}` ནང་ `{name}` ཚད་གཞིས་ state `{name}` མུན་ནག་བཟོས། state ལྟ་སྤྱོད་བྱ་ནི་ལུ་ཚད་གཞིའི་མིང་སླར་གསར་བཟོ།	ལས་འགན `{func}` ནང་ `{name}` མཐུད་མཚམས་ཀྱིས་ state `{name}` མུན་ནག་བཟོས། state ལུ་ཐུགས་རྟགས་བཟོ་ནི་ལུ་མཐུད་མཚམས་མིང་སླར་གསར་བཟོ།	ལས་འགན `{func}` གིས་མེ་ལོང་ལུ་ལོག་རྒྱུད་སྐབས་ `{name}` མཐུད་མཚམས་ཀྱིས་ state `{name}` མུན་ནག་བཟོས།	ལས་འགན `{func}` ནང་ `{name}` ཚད་གཞི་དེ་སྤྱོད་མེད།	{context} ནང་ལྷག་མེད་པར་ཐོབ་མི་བརྡ་དོན་མངོན་ཡོད། return གཏང་ཞིང་གི་ཤུལ་མམ་གྱི་ཀོཌྲ་མེད།	བཟང་	སྤྱོད་ཐབས: koto check <file.ko> [<file2.ko> ...]	བྱིན་ཡོད་པའི་ཁྱབ་བསྒྲགས་ལུ Kotodama lint འཁོར་སྐོར་འབད།
Serbian	Нема функција за компилацију	Kotodama compiler hint: {op}	Непознати параметар {name}	Није успело читање датотеке {path}: {error}	Грешка парсера: {error}	Семантичка грешка: {error}	стање `{name}` је декларисано, али се никада не користи	параметар `{name}` у функцији `{func}` прикрива стање `{name}`; преименујте параметар да бисте приступили стању	веза `{name}` у функцији `{func}` прикрива стање `{name}`; преименујте везу да бисте задржали приступ	веза `{name}` у функцији `{func}` прикрива стање `{name}` током итерирања мапе	параметар `{name}` у функцији `{func}` се никада не користи	откривена је недостижна наредба у {context}: код после return наредбе се никада не извршава	у реду	Употреба: koto check <file.ko> [<file2.ko> ...]	Покреће Kotodama lint провере над наведеним изворним датотекама.
Turkish	Derleme için işlev bulunmuyor	Kotodama compiler hint: {op}	Bilinmeyen parametre {name}	{path} dosyası okunamadı: {error}	Ayrıştırıcı hatası: {error}	Anlamsal hata: {error}	`{name}` durumu tanımlandı ancak hiç kullanılmıyor	`{func}` fonksiyonundaki `{name}` parametresi `{name}` durumunu gizliyor; duruma erişmek için parametreyi yeniden adlandırın	`{func}` fonksiyonundaki `{name}` bağlaması `{name}` durumunu gizliyor; erişimi korumak için bağlamayı yeniden adlandırın	`{func}` fonksiyonunda harita yinelemesi sırasında `{name}` bağlaması `{name}` durumunu gizliyor	`{func}` fonksiyonundaki `{name}` parametresi hiç kullanılmıyor	{context} içinde erişilemeyen ifade bulundu: return sonrasındaki kod hiçbir zaman çalışmaz	tamam	Kullanım: koto check <file.ko> [<file2.ko> ...]	Belirtilen kaynaklar üzerinde Kotodama lint kontrollerini çalıştırır.
Armenian	Կոմպիլյացիայի համար ֆունկցիաներ չկան	Kotodama compiler hint: {op}	Անհայտ պարամետր {name}	Չհաջողվեց կարդալ {path} ֆայլը. {error}	Վերծանիչի սխալ: {error}	Սեմանտիկ սխալ: {error}	`{name}` վիճակը հայտարարված է, բայց երբեք չի օգտագործվում	`{name}` պարամետրը `{func}` ֆունկցիայում փակում է `{name}` վիճակը. փոխեք պարամետրի անունը՝ վիճակին հասանելի լինելու համար	`{name}` կապը `{func}` ֆունկցիայում փակում է `{name}` վիճակը. փոխեք կապի անունը՝ հասանելիությունը պահպանելու համար	`{func}` ֆունկցիայում քարտեզի կրկնության ժամանակ `{name}` կապը փակում է `{name}` վիճակը	`{func}` ֆունկցիայում `{name}` պարամետրը երբեք չի օգտագործվում	{context}`-ում հայտնաբերվեց անմատչելի արտահայտություն. return-ից հետո կոդը երբեք չի կատարվում	լավ	Օգտագործում՝ koto check <file.ko> [<file2.ko> ...]	Գործարկում է Kotodama-ի lint ստուգումները տրամադրված աղբյուրների վրա։
Amharic	ለመኮምፓይል ምንም ፋንክሽን የለም	Kotodama compiler hint: {op}	ያልታወቀ ፓራሜትር {name}	ፋይል {path} ማንበብ አልተቻለም: {error}	የፓርሰር ስህተት: {error}	የትርጉም ስህተት: {error}	ሁኔታ `{name}` ተገልጿል፣ ግን በግልጽ ሁኔታ አልተጠቀምበትም	በ`{func}` ፋንክሽን ውስጥ ያለው ፓራሜትር `{name}` የ`{name}` ሁኔታን ይሸፍናል፤ ሁኔታውን ለመድረስ የፓራሜቱን ስም ይቀይሩ	በ`{func}` ፋንክሽን ውስጥ ያለው መቆለፊያ `{name}` የ`{name}` ሁኔታን ይሸፍናል፤ መዳረሻው እንዲቀጥል የመቆለፊያውን ስም ይቀይሩ	በ`{func}` ፋንክሽን ውስጥ ሜፕን ሲዘዋወር መቆለፊያ `{name}` የ`{name}` ሁኔታን ይሸፍናል	ፓራሜትር `{name}` በ`{func}` ፋንክሽን ውስጥ ምንም ጊዜ አይጠቀምም	በ{context} ውስጥ የማይደረስ መግለጫ ተገኘ፤ return በኋላ ያለው ኮድ በፍላጎት አይሰራም	እሺ	መጠቀም: koto check <file.ko> [<file2.ko> ...]	የKotodama lint ምርመራዎችን በተሰጡት ምንጮች ላይ ይከናውኑ.
Hausa	Babu aikin da za a haɗa	Kotodama compiler hint: {op}	Sigogi da ba a sani ba {name}	An kasa karanta fayil {path}: {error}	Kuskuren mai fassara: {error}	Kuskuren ma'ana: {error}	halin `{name}` an ayyana shi amma ba a taba amfani da shi ba	sigar `{name}` a cikin aikin `{func}` na rufe halin `{name}`; canza sunan sigar don samun damar halin	haɗin `{name}` a cikin aikin `{func}` na rufe halin `{name}`; canza sunan haɗin don kiyaye damar shiga	haɗin `{name}` a cikin aikin `{func}` na rufe halin `{name}` yayin jujjuyawar taswira	sigar `{name}` a cikin aikin `{func}` ba ta taba amfani ba	an gano jimla da ba za a iya kai wa gare ta ba a {context}: lambar bayan return ba za ta taba gudana ba	lafiya	Amfani: koto check <file.ko> [<file2.ko> ...]	Gudanar da binciken lint na Kotodama a kan tushen da aka bayar.
Tibetan	མཉེན་ཆས་ཀྱི་ལས་འཆར་མེད་པས་མཉེན་ཆས་ཚང་མེད།	Kotodama compiler hint: {op}	ངོ་མ་མེད་པའི་ཚད་བསྡུས {name}	ཡིག་ཆ་ {path} ཀློག་མི་ཚུབ།: {error}	དབྱེ་སུབ་ནོར་འཁྲུལ: {error}	དོན་ཚན་ནོར་འཁྲུལ: {error}	གནས་སྟངས་ `{name}` གསལ་བཀོད་བྱས་ཡོད་ཀྱང་སྤྱོད་པ་མེད།	ལས་འཆར་ `{func}` ནང་གི་ ཚད་བསྡུས་ `{name}` གནས་སྟངས་ `{name}` སྐུད་འཁྱོར་བྱེད་པས་ འདི་ལས་འགྲོ་བརྗེ་བསྒྱུར་བྱས་ནས་གནས་སྟངས་ལ་འཛུལ།	ལས་འཆར་ `{func}` ནང་གི་མཐུན་སྒྲིག `{name}` གནས་སྟངས་ `{name}` སྐུད་འཁྱོར་བྱས། འཛུལ་ལམ་ལུས་མི་བཅུག་པར་མཐུན་སྒྲིག་གི་མིང་བསྒྱུར།	ལས་འཆར་ `{func}` ནང་ས་ཁྲ་ལ་བསྐྱར་འཁོར་བྱེད་སྐབས་མཐུན་སྒྲིག `{name}` གནས་སྟངས་ `{name}` སྐུད་འཁྱོར་བྱས།	ལས་འཆར་ `{func}` ནང་གི་ཚད་བསྡུས་ `{name}` སྤྱོད་པ་མེད།	{context} ནང་འཛུལ་མི་རུང་བའི་གསལ་བརྗོད་མཐོང་སྟེ་ return རྗེས་ཀྱི་ཨང་རྟགས་སྤྱོད་མེད།	བདེ་ལེགས།	བཀོལ་སྤྱོད་: koto check <file.ko> [<file2.ko> ...]	Kotodama གི་ལིནཊི་བརྟག་ཞིབ་དེབ་གྲངས་འདིར་སྤྱོད།
Kashmiri	کمپایل کرن لۄکھ فنکشن نْہ چھ	Kotodama compiler hint: {op}	نامولوم پیرامیٹر {name}	فایل {path} پڑھن منز ناکام: {error}	پارسر غلطی: {error}	معنوی غلطی: {error}	`{name}` حالت اعلٕان چھ مگر ہٕندٕ استعمال کنہٕ نہٕ گۄو	فَنکشن `{func}` ہند `{name}` پارامیٹر حالت `{name}` آستاں چھ؛ حالت رسٕی میچان باپت پارامیٹر آکھ بدلٕو	فَنکشن `{func}` ہند `{name}` ربط حالت `{name}` آستاں چھ؛ رسٕی برقرار کرن باپت ربط آکھ بدلٕو	یَتھ `{func}` نقشو گژھان، ربط `{name}` حالت `{name}` آستاں چھ	فَنکشن `{func}` ہند `{name}` پارامیٹر کنہٕ وٕنہٕ استعمال گۄو	{context} منز نا رسٕی بیان ویل۪ی؛ ریٹرن پَت کۄڈ نہٕ چلان	ٹھیک	استعمال: koto check <file.ko> [<file2.ko> ...]	دیوان سۄرسن پٲت Kotodama lint چلٲو.
Nepali	कम्पाइल गर्न कुनै फङ्सन छैन	Kotodama compiler hint: {op}	अज्ञात प्यारामिटर {name}	फाइल {path} पढ्न सकिएन: {error}	पार्सर त्रुटि: {error}	अर्थसम्बन्धी त्रुटि: {error}	state `{name}` घोषण गरिएको छ तर कहिल्यै प्रयोग गरिएको छैन	फङ्सन `{func}` मा `{name}` प्यारामिटरले state `{name}` लाई लुकाउँछ; state पहुँच गर्न प्यारामिटरको नाम परिवर्तन गर्नुहोस्	फङ्सन `{func}` मा binding `{name}` ले state `{name}` लाई लुकाउँछ; पहुँच कायम राख्न binding को नाम परिवर्तन गर्नुहोस्	फङ्सन `{func}` मा map दोहोर्‍याउँदा binding `{name}` ले state `{name}` लाई लुकाउँछ	फङ्सन `{func}` मा प्यारामिटर `{name}` कहिल्यै प्रयोग हुँदैन	{context} मा पुग्न नसकिने विधान फेला पर्यो: return पछि रहेको कोड कहिल्यै चल्दैन	ठिक	प्रयोग: koto check <file.ko> [<file2.ko> ...]	दिइएका स्रोतहरूमा Kotodama lint जाँचहरू चलाउँछ।
Afrikaans	Geen funksies om saam te stel nie	Kotodama compiler hint: {op}	Onbekende parameter {name}	Kon nie lêer {path} lees nie: {error}	Ontlederfout: {error}	Semantiese fout: {error}	toestand `{name}` is gedeclareer maar word nooit gebruik nie	parameter `{name}` in funksie `{func}` verberg toestand `{name}`; hernoem die parameter om toegang tot die toestand te kry	binding `{name}` in funksie `{func}` verberg toestand `{name}`; hernoem die binding om toegang tot die toestand te behou	binding `{name}` in funksie `{func}` verberg toestand `{name}` tydens kaart-iterasie	parameter `{name}` in funksie `{func}` word nooit gebruik nie	onbereikbare stelling opgespoor in {context}: kode na ’n return word nooit uitgevoer nie	goed	Gebruik: koto check <file.ko> [<file2.ko> ...]	Voer Kotodama se lint-kontroles op die verskafte bronne uit.
Spanish	No hay funciones para compilar	Kotodama compiler hint: {op}	Parámetro desconocido {name}	Error al leer el archivo {path}: {error}	Error del analizador: {error}	Error semántico: {error}	El estado `{name}` se declara pero nunca se usa	El parámetro `{name}` en la función `{func}` oculta el estado `{name}`; renombra el parámetro para acceder al estado	La vinculación `{name}` en la función `{func}` oculta el estado `{name}`; renombra la vinculación para mantener el acceso al estado	La vinculación `{name}` en la función `{func}` oculta el estado `{name}` durante la iteración del mapa	El parámetro `{name}` en la función `{func}` no se usa nunca	Se detectó una instrucción inaccesible en {context}: el código después de un return nunca se ejecuta	correcto	Uso: koto check <file.ko> [<file2.ko> ...]	Ejecuta las comprobaciones de lint de Kotodama sobre las fuentes proporcionadas.
Farsi	هیچ تابعی برای کامپایل وجود ندارد	Kotodama compiler hint: {op}	پارامتر ناشناخته {name}	خواندن فایل {path} ممکن نشد: {error}	خطای تجزیه‌گر: {error}	خطای معنایی: {error}	وضعیت `{name}` اعلام شده است اما هرگز استفاده نمی‌شود	پارامتر `{name}` در تابع `{func}` وضعیت `{name}` را پنهان می‌کند؛ برای دسترسی به وضعیت نام پارامتر را تغییر دهید	پیوند `{name}` در تابع `{func}` وضعیت `{name}` را پنهان می‌کند؛ برای حفظ دسترسی نام پیوند را تغییر دهید	پیوند `{name}` در تابع `{func}` هنگام پیمایش نقشه وضعیت `{name}` را پنهان می‌کند	پارامتر `{name}` در تابع `{func}` هرگز استفاده نمی‌شود	دستور غیرقابل دسترس در {context} شناسایی شد: کد پس از return هرگز اجرا نمی‌شود	موفق	نحوه استفاده: koto check <file.ko> [<file2.ko> ...]	بر روی منابع ارائه‌شده lint های Kotodama را اجرا می‌کند.
OldAkkadian	𒅆𒅁𒊒 𒀭𒈾 𒈾𒀊𒆷𒅆 𒌑𒇻 𒄿𒋫𒆷𒀝	𒀭𒊑 𒋗𒈪 𒄷𒋾 {op}	𒉺𒊏𒈬 𒆷 𒄿𒁺 {name}	𒋻𒁍 {path} 𒌑𒇻 𒄿𒋗𒌅 {error}	𒋗𒁺 𒉺𒊏𒍑 {error}	𒋗𒁺 𒈾𒁍𒌈 {error}	𒋳𒉺 `{name}` 𒁺𒁍 𒆷 𒋳𒅕	𒋻 `{func}` 𒅁𒉺 `{name}` 𒋳𒆷 𒋳𒉺 `{name}`; 𒅁𒉺 `{name}` 𒋾𒈪 𒀭𒈾 𒋳𒉺	𒋻 `{func}` 𒋻𒉺 `{name}` 𒋳𒆷 𒋳𒉺 `{name}`; 𒋻𒉺 `{name}` 𒋾𒈪 𒀭𒈾 𒋳𒉺	𒋻 `{func}` 𒋻𒉺 `{name}` 𒋳𒆷 𒋳𒉺 `{name}` 𒉈𒍑 𒂍; 𒋻𒉺 `{name}` 𒋾𒈪 𒀭𒈾 𒋳𒉺	𒋻 `{func}` 𒅁𒉺 `{name}` 𒆷 𒅁𒋾	𒉈𒍑 {context} 𒆷 𒋳𒌋; 𒄿𒊑 𒆷 𒂊𒉺 𒅁𒋾	𒋗𒇻𒈬	𒄿𒊑𒄩 `koto check` 𒅁𒋾 <file.ko> [<file2.ko> ...]	𒉈𒍑 Kotodama 𒋼𒇻𒅕 𒀭𒈾 𒄿𒊑
Quechua	Mana ima ruwaykunapas huñunapaq	Kotodama compiler hint: {op}	Mana riqsisqa param {name}	mana ñawinchayta atirqanchu {path}: {error}	Parser pantay: {error}	Semántico pantay: {error}	estado `{name}` rurasqa kani, ichaqa manam hinaspa llamk'aykuykuchu	parametru `{name}` ruway `{func}` nisqapi estado `{name}` tapuqkuchkan; estado ta haykuykuykama parametru sutita hukmanta churay	huñuy `{name}` ruway `{func}` nisqapi estado `{name}` pakachkan; haykuyta qhispichiy nirqaykama huñu sutita hukmanta churay	map nisqata kutichkaptin ruway `{func}` nisqapi huñuy `{name}` estado `{name}` pakachkan	parametru `{name}` ruway `{func}` nisqapi manam miderankuchu	{context} nisqapi manam chaynaman chayarimayta atinchu: return ñawpanpi kachkan kodigoqa manam llamk'achkanchu	allin	Imayna llamk'achiy: koto check <file.ko> [<file2.ko> ...]	Chay apachisqa source nisqakunapi Kotodama lint qhawariykuna purichiy
Aymara	Janiw kuna funciones ukanakas compilar	Kotodama compiler hint: {op}	Jan uñt’at param {name}	Janiw liyiñjamäkiti {path}: {error}	Parser ukax mä pantjatawa: {error}	Semántica ukan pantjasitapa: {error}	`{name}` estado uka uñt’ayatawa ukampisa janiw apnaqatäkiti	Función `{func}` ukana `{name}` parámetro ukaxa `{name}` estado ukar imanta; estado ukar mantañataki parámetro sutipa mayjt’ayaña	Función `{func}` ukana `{name}` ch’iqchiwi ukaxa `{name}` estado ukar imanta; acceso chikañataki ch’iqchiwi sutipa mayjt’ayaña	Función `{func}` uka mapa thaqki ukaxa `{name}` ch’iqchiwi ukaxa `{name}` estado ukar imanta	Función `{func}` ukana `{name}` parámetro ukaxa janiw mayampisa apnaqatäkiti	{context} ukana jan purisiri arsu uñjasiwa; return ukat qhiparu qillqatanaka janiw sarnaqkiti	wali	Apnaqaña: koto check <file.ko> [<file2.ko> ...]	Kotodama lint uka sarantayaña wakichat qhanstayat qillqatanakana.
Bengali	সংকলনের কোনও ফাংশন নেই	Kotodama compiler hint: {op}	অজানা পরম {name}	পড়তে ব্যর্থ {path}: {error}	পার্সার ত্রুটি: {error}	শব্দার্থ ত্রুটি: {error}	স্টেট `{name}` ঘোষণা করা হয়েছে কিন্তু কখনও ব্যবহার করা হয়নি	ফাংশন `{func}`-এ প্যারামিটার `{name}` স্টেট `{name}`-কে আড়াল করছে; স্টেটে পৌঁছাতে প্যারামিটারের নাম পরিবর্তন করুন	ফাংশন `{func}`-এ বাইন্ডিং `{name}` স্টেট `{name}`-কে আড়াল করছে; প্রবেশাধিকার বজায় রাখতে বাইন্ডিংয়ের নাম পরিবর্তন করুন	ফাংশন `{func}`-এ ম্যাপ ইটারেশনের সময় বাইন্ডিং `{name}` স্টেট `{name}`-কে আড়াল করছে	ফাংশন `{func}`-এ প্যারামিটার `{name}` কখনও ব্যবহার করা হয় না	{context}`-এ অপ্রাপ্য স্টেটমেন্ট পাওয়া গেছে: return-এর পরে থাকা কোড কখনও চালানো হয় না	ঠিক আছে	ব্যবহার: koto check <file.ko> [<file2.ko> ...]	প্রদত্ত সোর্সের উপর Kotodama এর lint পরীক্ষা চালান।
Balochi	کمپایل ءَ کار ئی فنکشن نیست	Kotodama compiler hint: {op}	نامعلوم پارامیٹر {name}	فایل {path} پڑھنہ ناکام بوت: {error}	پارسر گلت: {error}	معنوی گلت: {error}	حالت `{name}` اعلان بوت انت، پر ہچ دم استعمال نہ بوت	فنکشن `{func}` ءِ `{name}` پارامیٹر حالت `{name}` ءَ پوش کراں؛ حالتءَ رسائی کیں پارامیٹرءِ نام بدل کن	فنکشن `{func}` ءِ `{name}` رابطہ حالت `{name}` ءَ پوش کراں؛ رسائی برقرار کنگ رابطہءِ نام بدل کن	چم `{func}` نقشہ ءِ گردش کنت، `{name}` رابطہ حالت `{name}` ءَ پوش کراں	فنکشن `{func}` ءِ `{name}` پارامیٹر ہرگیز استعمال نہ بوت	{context} ءِ نا رسائی جملہ پدا بوت؛ return ءِ پچھیں کوڈ کار نہ کن	سئی	کاربرد: koto check <file.ko> [<file2.ko> ...]	دادا سورانءَ Kotodama lint سر کن.
Bashkir	Компиляция өсөн функциялар юҡ	Kotodama compiler hint: {op}	Билдәһеҙ параметр {name}	{path} файлын уҡыу мөмкин булманы: {error}	Парсер хатаһы: {error}	Семантик хата: {error}	`{name}` хәле иғлан ителгән, ләкин ҡулланылмай	`{func}` функцияһындағы `{name}` параметры `{name}` хәлен күләгәләй; хәлгә инеү өсөн параметр исемен үҙгәртегеҙ	`{func}` функцияһындағы `{name}` бәйләнеше `{name}` хәлен йәшерә; хәлгә сығыу мөмкинлеге өсөн бәйләнеш исемен алмаштырығыҙ	`{func}` функцияһы карта буйлап йөрөгәндә `{name}` бәйләнеше `{name}` хәлен йәшерә	`{func}` функцияһындағы `{name}` параметры бөтөнләй ҡулланылмай	{context} эсендә үтәлмәҫ оператор табылды: return-дан һуңғы код эшләмәй	яҡшы	Ҡулланыу: koto check <file.ko> [<file2.ko> ...]	Бирелгән сығанаҡтар өсөн Kotodama lint-тарын эшләтегеҙ.
Brahui	کمپائلءِ فنکشن نست	Kotodama compiler hint: {op}	ناشنا پارامیټر {name}	فایل {path} مئے نہ اتگ: {error}	پارسر خطا: {error}	معنوی خطا: {error}	حالت `{name}` اعلان بوت انت، پر ہرگیز کار نئیں بوت	فنکشن `{func}` ءِ `{name}` پارامیٹر حالت `{name}` ءَ پوش کراں؛ حالتءَ دسترسی کیں پارامیٹرءِ نام بدل کن	فنکشن `{func}` ءِ `{name}` رابطہ حالت `{name}` ءَ پوش کراں؛ دسترسی برقرار کنگ رابطہءِ نام بدل کن	جا `{func}` نقشہ ءِ گردش کن، `{name}` رابطہ حالت `{name}` ءَ پوش کراں	فنکشن `{func}` ءِ `{name}` پارامیٹر ہرگیز کار نئیں بوت	{context} ءِ نا رسائی دستو پابند بوت؛ return ءِ پچھوں کوڈ نہ چلے	ٹھیک	کاربرد: koto check <file.ko> [<file2.ko> ...]	دیدا سورانءَ Kotodama lint چل کن.
Portuguese	Não há funções para compilar	Kotodama compiler hint: {op}	Parâmetro desconhecido {name}	Falha ao ler o arquivo {path}: {error}	Erro do analisador: {error}	Erro semântico: {error}	O estado `{name}` foi declarado, mas nunca é usado	O parâmetro `{name}` na função `{func}` oculta o estado `{name}`; renomeie o parâmetro para acessar o estado	A vinculação `{name}` na função `{func}` oculta o estado `{name}`; renomeie a vinculação para manter o acesso ao estado	A vinculação `{name}` na função `{func}` oculta o estado `{name}` durante a iteração do mapa	O parâmetro `{name}` na função `{func}` nunca é usado	Instrução inalcançável detectada em {context}: o código após um return nunca é executado	ok	Uso: koto check <file.ko> [<file2.ko> ...]	Executa os lints do Kotodama nas fontes fornecidas.
Punjabi	ਕੰਪਾਈਲ ਕਰਨ ਲਈ ਕੋਈ ਫੰਕਸ਼ਨ ਨਹੀਂ	Kotodama compiler hint: {op}	ਅਣਜਾਣ ਪੈਰਾਮੀਟਰ {name}	ਫਾਇਲ {path} ਪੜ੍ਹਣ ਵਿੱਚ ਅਸਫਲ: {error}	ਪਾਰਸਰ ਗਲਤੀ: {error}	ਸੈਮੈਂਟਿਕ ਗਲਤੀ: {error}	state `{name}` ਦਾ ਐਲਾਨ ਕੀਤਾ ਗਿਆ ਹੈ ਪਰ ਕਦੇ ਵਰਤਿਆ ਨਹੀਂ ਗਿਆ	ਫੰਕਸ਼ਨ `{func}` ਵਿੱਚ ਪੈਰਾਮੀਟਰ `{name}` state `{name}` ਨੂੰ ਲੁਕਾਉਂਦਾ ਹੈ; state ਤੱਕ ਪਹੁੰਚ ਲਈ ਪੈਰਾਮੀਟਰ ਦਾ ਨਾਮ ਬਦਲੋ	ਫੰਕਸ਼ਨ `{func}` ਵਿੱਚ binding `{name}` state `{name}` ਨੂੰ ਲੁਕਾਉਂਦੀ ਹੈ; ਪਹੁੰਚ ਬਰਕਰਾਰ ਰੱਖਣ ਲਈ binding ਦਾ ਨਾਮ ਬਦਲੋ	ਫੰਕਸ਼ਨ `{func}` ਵਿੱਚ ਮੈਪ ਤੇ ਇਟਰੇਟ ਕਰਦੇ ਸਮੇਂ binding `{name}` state `{name}` ਨੂੰ ਲੁਕਾਉਂਦੀ ਹੈ	ਫੰਕਸ਼ਨ `{func}` ਵਿੱਚ ਪੈਰਾਮੀਟਰ `{name}` ਕਦੇ ਵਰਤਿਆ ਨਹੀਂ ਜਾਂਦਾ	{context} ਵਿੱਚ ਅਪਹੁੰਚ ਵਿਵਸਥਾ ਮਿਲੀ: return ਤੋਂ ਬਾਅਦ ਵਾਲਾ ਕੋਡ ਕਦੇ ਨਹੀਂ ਚੱਲਦਾ	ਠੀਕ	ਵਰਤੋਂ: koto check <file.ko> [<file2.ko> ...]	ਦਿੱਤੇ ਗਏ ਸਰੋਤਾਂ 'ਤੇ Kotodama lint ਚਲਾਉਂਦਾ ਹੈ।
Sindhi	ڪمپائيل ڪرڻ لاءِ ڪو به فنڪشن ناهي	Kotodama compiler hint: {op}	اڻڄاتل پيراميٽر {name}	فائل {path} پڙهڻ ۾ ناڪام: {error}	پارسنگ غلطي: {error}	معنوي غلطي: {error}	حالت `{name}` جو اعلان ٿيو پر ڪڏهن به استعمال نه ٿيو	فنڪشن `{func}` ۾ پيراميٽر `{name}` حالت `{name}` کي لڪائي ٿو؛ حالت تائين پهچ لاءِ پيراميٽر جو نالو مٽايو	فنڪشن `{func}` ۾ رابطو `{name}` حالت `{name}` کي لڪائي ٿو؛ پهچ برقرار رکڻ لاءِ رابطو جو نالو مٽايو	فنڪشن `{func}` ۾ نقشي تي ورجاءَ دوران رابطو `{name}` حالت `{name}` کي لڪائي ٿو	فنڪشن `{func}` ۾ پيراميٽر `{name}` ڪڏهن به استعمال نٿو ٿئي	{context} ۾ نه پهچڻ جو بيان مليو: return کانپوءِ وارو ڪوڊ ڪڏهن به نه هلندو	ٺيڪ	استعمال: koto check <file.ko> [<file2.ko> ...]	Kotodama جي lint چيڪس کي ڏنل سورسز تي هلائي ٿو.
