kotodama-diagnostic-explanations-v1	235
code	phase	summary	help
E_TYPE_ANNOTATION_MISMATCH	Semantic	an explicitly typed binding received a value of another type	Keep type-first annotations exact and use only explicit V1 conversions.
E_ZK_MODE_REQUIRED	Semantic	a ZK-only operation was retained without ZK compilation policy	Build the seiyaku with explicit ZK project policy or remove the ZK-only operation.
E_SECRET_FULL_WIDTH_CRYPTO_REQUIRED	Semantic	a scalar-register crypto operation attempted to consume Secret<T>	Use crypto::valcom or another approved full-width proof operation that declares a Secret<T> flow.
E_SECRET_PRIVATE_INPUT_AMBIGUOUS	Semantic	a private input had no inferable Secret<T> payload type	Use a type-first binding such as `let Secret<int> value = crypto::private_input(0);`.
E_SECRET_PRIVATE_INPUT_CONTEXT	Semantic	a private-input operation did not initialize an approved Secret<T> binding	Initialize an explicit Secret<int>, Secret<decimal>, or Secret<quantity> binding.
E_TEST_ACTOR_LITERAL	Semantic	a Kotodama test actor was not a static literal alias	Pass a string literal or Name::parse literal actor alias to the test helper.
E_TEST_BUILTIN_CONTEXT	Semantic	a test-only builtin was called outside a #[test] function	Move the call into a local #[test] fn in a standalone Kotodama test module.
E_TEST_ENTRYPOINT_KIND	Semantic	a runtime test helper targeted a private function	Target a kotoage, view, hajimari, or kaizen declaration.
E_TEST_ENTRYPOINT_LITERAL	Semantic	a runtime test helper target was not a static literal	Pass the kotoage, view, hajimari, or kaizen name as a string or Name::parse literal.
E_TEST_FUNCTION_SIGNATURE	Semantic	a #[test] function has a public, parameterized, or value-returning signature	Declare each test as a local parameterless `#[test] fn` returning unit.
E_TEST_MODULE_ITEM	Semantic	a standalone Kotodama test module contains a deployable-only item	Keep standalone test modules limited to their target, fixtures, helpers, and #[test] functions.
E_TEST_MODULE_KIND	Semantic	a standalone Kotodama test file did not declare a module	Declare a module source unit and identify the tested seiyaku with koto_test.
E_TEST_TARGET_REQUIRED	Semantic	a standalone Kotodama test module omitted its tested seiyaku	Add one koto_test declaration naming the seiyaku under test.
E_TRIGGER_FILTER_DUPLICATE_MATCHER	Semantic	a trigger data filter repeats one matcher key	Keep at most one matcher for each supported key in the trigger filter.
E_TRIGGER_FILTER_INVALID_LITERAL	Semantic	a trigger data-filter matcher contains an invalid typed identifier literal	Replace the matcher value with a canonical literal of the identifier type named by the diagnostic.
E_TRIGGER_FILTER_UNSUPPORTED_EVENT	Semantic	a trigger data family does not support the requested event kind	Choose one event kind supported by that data family or omit the event restriction.
E_TRIGGER_FILTER_UNSUPPORTED_MATCHER	Semantic	a trigger data family does not support the requested matcher	Remove the matcher or use a matcher supported by the selected data family.
E_TRIGGER_INVALID_AUTHORITY	Semantic	a trigger authority is not a canonical AccountId	Use a canonical domainless AccountId for trigger authority.
E_TRIGGER_INVALID_ID	Semantic	an execute-trigger target is not a canonical TriggerId name	Use a valid canonical Name for the referenced trigger id.
E_TRIGGER_INVALID_METADATA_KEY	Semantic	a trigger metadata key is not a canonical Name	Replace the metadata key with a valid canonical Name.
E_TRIGGER_INVALID_NAME	Semantic	a trigger declaration name is not canonical	Rename the trigger using a valid canonical Name.
E_TRIGGER_METADATA_VALUE	Semantic	a trigger metadata expression cannot be represented as canonical JSON	Use an exactly representable literal or explicit native Json construction.
E_TRIGGER_SCHEDULE_PERIOD	Semantic	a scheduled trigger declares a zero repeat period	Use a non-zero deterministic period_ms value.
E_TRIGGER_TARGET_KIND	Semantic	a trigger callback does not target a kotoage/言挙げ function	Point the trigger at a declared kotoage/言挙げ function.
E_TRIGGER_VIEW_TARGET	Semantic	a trigger callback targets a read-only view function	Point the trigger at a declared kotoage/言挙げ function instead.
